"dep","dur","mem","temp","prec","rushhour","rushhour_combined","time","doy","hour","weekday_dummy","month","dur_min_bin","weekend","dur_boxcox"
2021-05-21 07:46:06,703,"Non-Member",25.3,0,"AM","Rush Hour","07:46:06","05-21","07",1,"May",11,"0",9.29580986347905
2021-05-07 08:27:51,1284,"Non-Member",9.7,0,"AM","Rush Hour","08:27:51","05-07","08",1,"May",21,"0",10.5000701875048
2021-05-28 09:22:49,1486,"Non-Member",7.8,0,"AM","Rush Hour","09:22:49","05-28","09",1,"May",24,"0",10.8033743505009
2021-05-21 08:25:00,846,"Non-Member",25.3,0,"AM","Rush Hour","08:25:00","05-21","08",1,"May",14,"0",9.65821296088379
2021-05-14 07:44:10,1169,"Non-Member",17.8,0,"AM","Rush Hour","07:44:10","05-14","07",1,"May",19,"0",10.3076331110526
2021-05-28 14:40:01,623,"Non-Member",7.8,0,"NonPeak","Non-Rush Hour","14:40:01","05-28","14",1,"May",10,"0",9.06298556535449
2021-05-28 19:05:16,587,"Non-Member",7.8,0,"NonPeak","Non-Rush Hour","19:05:16","05-28","19",1,"May",9,"0",8.94931659129891
2021-05-14 12:21:03,1133,"Non-Member",17.8,0,"NonPeak","Non-Rush Hour","12:21:03","05-14","12",1,"May",18,"0",10.243886525362
2021-05-14 12:55:33,505,"Non-Member",17.8,0,"NonPeak","Non-Rush Hour","12:55:33","05-14","12",1,"May",8,"0",8.66499898256156
2021-05-14 12:54:34,2579,"Non-Member",17.8,0,"NonPeak","Non-Rush Hour","12:54:34","05-14","12",1,"May",42,"0",11.9890160276527
2021-05-07 18:12:31,1067,"Non-Member",9.7,0,"PM","Rush Hour","18:12:31","05-07","18",1,"May",17,"0",10.1221351467718
2021-05-14 18:30:12,2714,"Non-Member",17.8,0,"PM","Rush Hour","18:30:12","05-14","18",1,"May",45,"0",12.1021170970569
2021-05-07 18:56:39,486,"Non-Member",9.7,0,"PM","Rush Hour","18:56:39","05-07","18",1,"May",8,"0",8.59322252774749
2021-05-21 15:25:18,415,"Non-Member",25.3,0,"PM","Rush Hour","15:25:18","05-21","15",1,"May",6,"0",8.300549380812
2021-05-21 16:35:42,769,"Non-Member",25.3,0,"PM","Rush Hour","16:35:42","05-21","16",1,"May",12,"0",9.47059253296017
2021-06-18 08:45:46,901,"Non-Member",21.2,1,"AM","Rush Hour","08:45:46","06-18","08",1,"Jun",15,"0",9.78304313344168
2021-06-25 08:33:04,1035,"Non-Member",22.2,0,"AM","Rush Hour","08:33:04","06-25","08",1,"Jun",17,"0",10.0606474396047
2021-06-11 08:34:09,1094,"Non-Member",19.7,1,"AM","Rush Hour","08:34:09","06-11","08",1,"Jun",18,"0",10.1727391679265
2021-06-04 09:02:25,1064,"Non-Member",22,0,"AM","Rush Hour","09:02:25","06-04","09",1,"Jun",17,"0",10.1164416179199
2021-06-04 08:39:43,566,"Non-Member",22,0,"AM","Rush Hour","08:39:43","06-04","08",1,"Jun",9,"0",8.88008096942639
2021-06-25 03:39:40,640,"Non-Member",22.2,0,"NonPeak","Non-Rush Hour","03:39:40","06-25","03",1,"Jun",10,"0",9.11462291589283
2021-06-25 00:49:41,940,"Non-Member",22.2,0,"NonPeak","Non-Rush Hour","00:49:41","06-25","00",1,"Jun",15,"0",9.86747232316781
2021-06-04 21:57:42,1523,"Non-Member",22,0,"NonPeak","Non-Rush Hour","21:57:42","06-05","21",1,"Jun",25,"0",10.8548707568938
2021-06-11 20:05:38,2344,"Non-Member",19.7,1,"NonPeak","Non-Rush Hour","20:05:38","06-12","20",1,"Jun",39,"0",11.7787857313612
2021-06-04 13:08:43,320,"Non-Member",22,0,"NonPeak","Non-Rush Hour","13:08:43","06-04","13",1,"Jun",5,"0",7.82885332270579
2021-06-18 17:57:14,587,"Non-Member",21.2,1,"PM","Rush Hour","17:57:14","06-18","17",1,"Jun",9,"0",8.94931659129891
2021-06-25 16:11:18,269,"Non-Member",22.2,0,"PM","Rush Hour","16:11:18","06-25","16",1,"Jun",4,"0",7.52066453850402
2021-06-25 18:15:43,811,"Non-Member",22.2,0,"PM","Rush Hour","18:15:43","06-25","18",1,"Jun",13,"0",9.5749201161027
2021-06-04 15:31:51,547,"Non-Member",22,0,"PM","Rush Hour","15:31:51","06-04","15",1,"Jun",9,"0",8.81541970972555
